states,districts,delta_confirmed,delta_deceased,delta_recovered,delta_tested,delta_vaccinated1,delta_vaccinated2,delta_population,delta21_14_confirmed,delta21_14_deceased,delta21_14_recovered,delta21_14_tested,delta21_14_vaccinated1,delta21_14_vaccinated2,delta21_14_population,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_population,meta_confirmed,meta_deceased,meta_recovered,meta_tested,meta_vaccinated1,meta_vaccinated2,meta_population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_population
AR,Lower Subansiri,0,0,0,0,2,36,0,7,0,0,0,0,0,7,5,0,2,0,85,767,5,0,0,0,1/28/2021,0,0,82839,3036,15,3015,10564,26916,18827,12
AR,Namsai,0,0,0,0,0,0,0,8,0,0,0,0,0,8,4,0,16,0,209,2436,4,0,0,0,1/28/2021,0,0,95950,2124,17,2102,19987,63539,47104,12
AR,Pakke Kessang,0,0,0,0,0,14,0,1,0,0,0,0,0,1,0,0,0,0,25,262,0,0,0,0,1/28/2021,0,0,0,453,0,453,3327,8004,4998,1
AR,Papum Pare,1,0,1,0,0,0,1,22,0,0,0,0,0,22,7,0,12,0,1055,3799,7,0,0,0,1/28/2021,0,0,176385,18316,98,18212,41960,141168,100258,30
AR,Shi Yomi,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,10,0,2,153,1,0,0,0,1/28/2021,0,0,13310,262,0,261,2169,6910,5663,4
AR,Siang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,197,0,0,0,0,1/28/2021,0,0,31920,411,3,408,4270,14408,9068,0
AR,Tawang,0,0,0,0,0,0,0,12,0,0,0,0,0,12,12,0,8,0,91,759,12,0,0,0,1/28/2021,0,0,49950,2577,20,2533,14224,29553,23287,24
AR,Tirap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,35,631,0,0,0,0,1/28/2021,0,0,111997,1109,5,1102,14657,31565,21200,0
AR,Upper Dibang Valley,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3,11,0,0,0,0,1/28/2021,0,0,7948,337,2,335,1910,4156,2603,1
AR,Upper Siang,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,38,411,0,0,0,0,1/28/2021,0,0,35289,1016,1,1015,6564,18594,13671,2
AR,Upper Subansiri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,1122,0,0,0,0,1/28/2021,0,0,83205,1958,6,1952,6217,24842,16390,0
AR,West Kameng,0,0,7,0,15,89,0,17,0,0,0,0,0,17,1,0,21,0,206,1914,1,0,0,0,1/28/2021,0,0,87013,3545,14,3518,28155,55710,40321,18
